Indicator,Trade flow,Commodity,Partner,Reporter,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11
Value (US$),Imports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",Canada,USA,13567296,13879961,15351182,14987189,13758262,28364811,71297430,63837238,36681927,70125281,27689789,16955663,17207443,13311808,17546340,15866435,,14074591,65235664,84282229,,46362706,24696907,12534349,14948388,14263670,15858999,17964016,18904786,16903602,59473116,94449306,43207198,62815685,28598466,16898908,20538661,19467274,20465417,21691727,22251119,19796210,81268618,82433032,35367802,45755359,25792585,18112436,21659552,19708257,20549114,20926388,24003882,18454227,59510547,89536617,40512063,61612711,29756027
Value (US$),Imports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",Mexico,Canada,44071162,46210203,47874355,67994294,87765978,61835118,33802148,31399669,29964102,41866266,52227987,51051888,59295329,63738531,73409811,78763549,89708613,77541513,39154915,32020477,34612185,49872842,59637548,60839952,67121039,59011850,75150816,83764300,92271381,80328089,42819073,35633387,32709314,46150015,58874165,61187850,66482441,70430070,79853816,91708533,91808401,88341366,48468625,40289093,38134761,51466120,66137099,68002874,74080891,69339439,92560537,74589477,93298567,88997025,51330940,37606010,37191477,61512970,69511643
Value (US$),Imports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",Mexico,USA,537332568,505527264,558145565,624661300,828624354,501948085,325822278,326051816,398549578,472184698,544690309,581279412,624209860,615257550,755986597,762949550,,670327462,344114687,422480157,,481381804,549947624,657946518,697788552,674597002,762960972,804057572,835290454,678954580,363834010,431485418,355073356,488998844,613694876,620624597,783168937,748855482,855786310,963044779,957886181,876318004,461146865,430104684,456404324,562977854,631300033,721439900,853644415,776442252,895383640,772581509,861897767,836988380,407313878,438134045,440077505,635397139,662849015
Value (US$),Imports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",USA,Canada,110419604,116879548,132194482,139529878,232371959,249938987,225853974,198375610,183686745,177307080,157213676,116251533,107383419,101677086,121196453,141362972,199413090,249741636,253372553,196113340,193554842,171319996,159868896,128449055,116281613,112702562,118632921,141136477,185995823,261930209,238724243,174812897,189017410,162061776,165948254,122268956,100112111,98495114,114044305,133585525,179579691,248293407,238347615,200996586,178918925,161208812,160436002,122814650,105363290,117062202,144049836,132786042,206460593,245753750,257165493,210840388,180736785,174104576,158571656
Value (US$),Imports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",USA,Mexico,46799514,57184593,58884868,59501075,67752061,73534463,72864695,71884342,67304516,64082407,60044538,,62803307,56374675,59944775,49716170,67494976,77377688,85021395,73509456,80571233,83086477,77364521,67703657,74024896,66932991,67989849,79378881,78036104,81094235,93325700,111741167,94205886,96886643,71819148,66724020,60168124,57950453,59892958,67213422,77386689,81278708,101655212,103611772,98564142,102366445,82822734,65670849,59346627,69562063,82002709,61662021,56023822,68248919,71614824,79040936,94028436,97649552,
Value (US$),Imports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",World,Canada,327434980,360115284,372941916,375502986,457578432,451833463,388303563,354646825,335609851,346898128,380351097,356341216,350044879,333338191,382601060,382206389,439666431,473421516,442099941,378440745,350926793,362629275,390643841,376633704,411694740,374554271,408556452,405576660,449211909,483497397,430486813,364739965,343407899,353952271,386577196,374651309,389576778,355942899,401302954,412489500,437323270,470379259,431763438,389358357,346573944,367334697,395798258,402844579,404716126,379743138,439655008,373112978,455113517,473190626,464103125,384519220,355106377,401757566,424126898
Value (US$),Imports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",World,Mexico,64750464,77388682,79574262,75991709,77386936,84169317,88243820,85000594,77227601,73482422,74366145,,82200020,72753120,81899047,64552559,77079612,88891571,100362836,85526845,91252233,93214019,89029148,86857037,91840386,92058847,94013105,99278449,87163161,93805287,109866603,130164732,106621726,113502679,85098395,82089599,87347951,83987393,91525705,88189568,91144359,93104313,119105800,642661810,112969128,114212040,96780272,85574321,90443682,104622448,118094047,79992895,65269817,81306997,88685816,96956453,106968642,110040961,
Value (US$),Imports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",World,USA,1569477538,1568412601,1671249741,1470520782,1593374291,1254477011,1100696427,1133642650,1111103652,1255054151,1356572898,1633172240,,1649973424,,1604624518,,,,1323256628,,1320864367,1363284554,1533277933,1949227817,1823334166,1895686206,1785073680,1681480728,1499109345,1338130788,1428428041,1160715249,1456889470,1385945965,1507865581,1947808400,1773829087,1931889444,1921223911,1760788636,1632587508,1446836746,1293956092,1321426815,1421271731,1412785107,1682734791,2010742273,1868757878,2021716289,1610349328,1595876458,1683922519,1268582025,1337163833,1368240395,1550192446,1480257139
Value (US$),Imports,"22 Beverages, spirits and vinegar",Canada,Canada,251621,254221,337344,252857,433958,200208,383860,1048459,247355,361787,359861,219633,519193,450794,400053,271021,225804,354650,281704,592414,145020,635651,366441,427656,177900,264718,458741,118530,319102,325155,348881,609917,365459,497797,775833,173293,344839,,209666,269443,301195,437168,282670,438779,174272,427054,242327,196173,,,,,,,250575,,,,
Value (US$),Imports,"22 Beverages, spirits and vinegar",Canada,Mexico,1035863,1138825,1414428,727260,1080370,1635236,657773,1085912,1211131,504181,764587,,626158,732490,832180,1048386,1074869,458262,818068,999937,953626,770478,526756,1157793,472769,644678,835474,509230,1114412,684788,583874,1208295,598855,878212,494242,907837,645768,467647,389079,767657,554804,546144,691479,718241,846077,905701,365799,472897,595522,545819,831175,527359,472991,280520,413460,366747,729519,787696,
